id,date,age,comuna_id,level,age_range,online
3379664,,34,4102,Universitaria completa,30-45,False
3379733,24-01-2020,29,4301,,15-30,False
3379774,27-01-2020,46,4101,Media completa. Técnica incompleta,45-60,False
3379899,27-01-2020,42,4301,Media completa. Técnica incompleta,30-45,False
3379967,27-01-2020,74,4301,Media incompleta (incluyendo Media Técnica),>=60,False
3380040,28-01-2020,49,4301,Universitaria incompleta. Técnica completa,45-60,False
3380089,29-01-2020,26,4301,Universitaria incompleta. Técnica completa,15-30,False
3380176,29-01-2020,27,4301,Técnica completa,15-30,False
3393477,05-02-2020,62,4102,Media completa. Técnica incompleta,>=60,False
3394282,,71,5603,Educación básica incompleta o inferior,>=60,False
3394311,05-01-2020,75,5601,Educación básica incompleta o inferior,>=60,False
3394362,05-01-2020,70,5601,Educación básica incompleta o inferior,>=60,False
3394479,,,1,,0-15,False
3394515,30-01-2020,47,13404,Básica completa,45-60,False
3394518,05-02-2020,,5601,Técnica completa,0-15,False
3394614,05-02-2020,69,5601,Educación básica incompleta o inferior,>=60,False
3394643,05-02-2020,39,10302,Básica completa,30-45,False
3394682,30-01-2020,74,13404,Educación básica incompleta o inferior,>=60,False
3394726,05-02-2020,68,10302,Básica completa,>=60,False
3394811,30-01-2020,22,13404,Media incompleta (incluyendo Media Técnica),15-30,False
3394877,30-01-2020,25,13404,Media completa. Técnica incompleta,15-30,False
3394990,30-01-2020,38,13404,Básica completa,30-45,False
3395060,,,1,Universitaria incompleta. Técnica completa,0-15,False
3395066,05-02-2020,32,10302,Técnica completa,30-45,False
3395129,15-01-2020,29,13120,Universitaria completa,15-30,False
3395213,25-01-2020,30,13120,Técnica completa,30-45,False
3395388,05-02-2020,52,10302,Básica completa,45-60,False
3395510,05-02-2020,40,10302,Básica completa,30-45,False
3395631,05-02-2020,45,10302,Media incompleta (incluyendo Media Técnica),45-60,False
3395635,05-02-2020,72,5601,Básica completa,>=60,False
3395694,05-02-2020,48,6101,Media incompleta (incluyendo Media Técnica),45-60,False
3395725,05-02-2020,61,5601,,>=60,False
3395752,05-02-2020,77,6101,Básica completa,>=60,False
3395796,05-02-2020,55,6101,Universitaria incompleta. Técnica completa,45-60,False
3395801,05-02-2020,63,5601,Básica completa,>=60,False
3395892,05-02-2020,50,6101,Media completa. Técnica incompleta,45-60,False
3395947,05-02-2020,,6101,Media completa. Técnica incompleta,0-15,False
3396039,05-02-2020,68,10302,Educación básica incompleta o inferior,>=60,False
3396671,05-02-2020,35,6101,Técnica completa,30-45,False
3396715,05-02-2020,50,6101,Media completa. Técnica incompleta,45-60,False
3396754,05-02-2020,57,10302,Educación básica incompleta o inferior,45-60,False
3396761,05-02-2020,49,6101,Media completa. Técnica incompleta,45-60,False
3396806,05-02-2020,44,6101,Universitaria incompleta. Técnica completa,30-45,False
3396851,05-02-2020,46,10302,Media incompleta (incluyendo Media Técnica),45-60,False
3396861,05-02-2020,47,4102,Media incompleta (incluyendo Media Técnica),45-60,False
3396895,05-02-2020,72,4102,Básica completa,>=60,False
3396916,05-02-2020,52,6101,Media completa. Técnica incompleta,45-60,False
3396962,05-02-2020,21,6101,Técnica completa,15-30,False
3396966,05-02-2020,73,4102,Básica completa,>=60,False
3397005,05-02-2020,80,4102,Educación básica incompleta o inferior,>=60,False
